Yara,,Num Of Confirmed Bugs with test cases:,0,Num of available crashes,0,Project Link:,https://github.com/VirusTotal/yara,Work on this has been temporary halted due to complex input test cases.,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Internal ID,Tool Name,CVE ID,Date of Fix,Earlies Unfixed Commit,Commit ID before fix,Commit ID of fix,Notes,Shall we include?,Bug Type,Bug Details,Crash Input,Crash Status,Useful Link
,yara,N/A,2016-06-03 12:17:51 +0200,TODO,b5e762a,6b16efd,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/6b16efd
,yara,N/A,2016-05-12 12:07:19 +0200,TODO,c7f00b9,dc4811b,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/dc4811b
,yara,N/A,2016-05-12 11:33:48 +0200,TODO,430b5b5,c7f00b9,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/c7f00b9
,yara,N/A,2016-05-10 15:29:32 +0200,TODO,c48b902,5b5d280,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/5b5d280
,yara,N/A,2016-04-26 16:52:56 +0200,TODO,e83f639,1497fbd,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/1497fbd
,yara,N/A,2016-04-22 11:24:41 +0200,TODO,d5d83ae,907a0b0,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/907a0b0
,yara,N/A,2016-04-22 11:24:41 +0200,TODO,2d6fc25,d5d83ae,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/d5d83ae
,yara,N/A,2016-04-22 11:19:10 +0200,TODO,1cce744,2d6fc25,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/2d6fc25
,yara,N/A,2016-04-22 11:19:10 +0200,TODO,06409ec,1cce744,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/1cce744
,yara,N/A,2016-04-08 09:46:58 +0200,TODO,a330507 3245154,e1bd626,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/e1bd626
,yara,N/A,2016-03-10 23:23:14 +0100,TODO,4e2e9ec 4b6ab92,0f43419,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/0f43419
,yara,N/A,2016-02-23 21:20:17 +0100,TODO,ff05102,4d979e6,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/4d979e6
,yara,N/A,2016-02-22 21:30:06 +0100,TODO,a4c614a,a76bfc0,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/a76bfc0
,yara,N/A,2016-01-31 22:51:50 +0100,TODO,3c74c9b,52dd72e,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/52dd72e
,yara,N/A,2016-01-22 21:41:59 +0100,TODO,60e505b,b9c4840,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/b9c4840
,yara,N/A,2016-01-22 21:08:40 +0100,TODO,f867aee,60e505b,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/60e505b
,yara,N/A,2016-01-22 20:51:32 +0100,TODO,0ed6087,f867aee,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/f867aee
,yara,N/A,2016-01-21 23:04:53 +0100,TODO,80d64db 553a76f,2ca694b,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/2ca694b
,yara,N/A,2015-11-11 18:43:38 +0100,TODO,4a53217,9fbb20a,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/9fbb20a
,yara,N/A,2015-11-03 18:36:04 +0100,TODO,2fac34b,65a8611,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/65a8611
,yara,N/A,2015-10-30 19:23:40 +0100,TODO,0d02651,5d6d8b1,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/5d6d8b1
,yara,N/A,2015-10-23 10:19:13 +0200,TODO,2698f51,3f2f291,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/3f2f291
,yara,N/A,2015-10-08 00:01:09 +0200,TODO,470e776 62513e1,c6288b7,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/c6288b7
