libFLAC,,Num Of Confirmed Bugs with test cases:,5,Num of available crashes,9,,Project Link:,https://github.com/xiph/flac,,,,,
,,,,,,,,,,,,,
Invalid Access,5,,0,,,,,,,,,,
Failed Assertion,0,,0,,,,,,,,,,
Division By Zero,0,,0,,,,,,,,,,
Dangling Pointer Use,0,,,,,,,,,,,,
,,,,,,,,,,,,,
Internal ID,Tool Name,CVE ID,Date of Fix,Earlies Unfixed Commit,Commit ID / Version before fix,Commit ID / Version of fix,Notes,Shall we include?,Bug Type,Bug Details,Crash Input,Crash Status,Useful Link
33,FLAC,N/A,2003-02-20 06:11:49 +0000,,6747981,e8e0ae7,N/A,No,Infinite Loop,seekable_stream_decoder.c,No,TODO,https://github.com/xiph/flac/commit/e8e0ae7
34,FLAC,N/A,2003-07-08 22:05:45 +0000,,eb35435,2ee59b4,N/A,I Don't Know,I Don't Know,,POTENTIAL,TODO,https://github.com/xiph/flac/commit/2ee59b4
35,FLAC,N/A,2003-11-14 00:06:25 +0000,,7890953,997c6bc,N/A,Yes,Buffer Overflow,main.c,Yes,Failed,"https://github.com/xiph/flac/commit/997c6bc
https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=213172"
36,FLAC,N/A,2004-03-17 21:19:09 +0000,,0433c8e,e8fa86b,N/A,No,Memory Leak,seekable_stream_encoder.c,No,TODO,https://github.com/xiph/flac/commit/e8fa86b
37,FLAC,N/A,2004-07-16 00:34:42 +0000,,89f161c,cc75611,N/A,No,Use-Before-Write,encoders.c,No,TODO,https://github.com/xiph/flac/commit/cc75611
38,FLAC,N/A,2004-07-24 00:02:46 +0000,,98a81f5,e04f0c4,N/A,Yes,Use-After-Free,decode.c,No,TODO,https://github.com/xiph/flac/commit/e04f0c4
39,FLAC,N/A,2004-09-14 00:23:30 +0000,,aa2f8bd,6476272,N/A,No,Memory Leak,encode.c,No,TODO,https://github.com/xiph/flac/commit/6476272
40,FLAC,N/A,2004-10-06 00:56:51 +0000,,5367759,607fc84,N/A,Yes,I Don't Know,stream_decoder.c,Yes,Failed,"https://github.com/xiph/flac/commit/607fc84
https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=274301"
41,FLAC,N/A,2004-10-19 04:23:57 +0000,,ed1db1f,07be291,N/A,No,Memory Leak,operations.c,No,TODO,https://github.com/xiph/flac/commit/07be291
42,FLAC,N/A,2005-08-27 01:52:11 +0000,,15acb69,dee5339,N/A,Potential,I Don't Know,encode.c,No,TODO,https://github.com/xiph/flac/commit/dee5339
43,FLAC,N/A,2005-08-29 04:30:20 +0000,,4731c75,e781952,N/A,No,I Don't Know,encode.c,No,TODO,https://github.com/xiph/flac/commit/e781952
44,FLAC,N/A,2005-09-03 01:33:12 +0000,,33f4ce5,7fdd688,N/A,Potential,I Don't Know,,Yes,Failed,"https://github.com/xiph/flac/commit/7fdd688
https://sourceforge.net/p/flac/bugs/173/"
45,FLAC,N/A,2006-11-27 16:27:41 +0000,,d9ac0bd,32b9bae,N/A,No,Infinite Loop,,No,TODO,https://github.com/xiph/flac/commit/32b9bae
46,FLAC,N/A,2007-02-13 02:05:19 +0000,,c0f51e7,147dbe2,N/A,No,Memory Leak,encode.c,No,TODO,https://github.com/xiph/flac/commit/147dbe2
47,FLAC,N/A,2007-06-19 04:18:55 +0000,,a4d8402,d7ebbe5,N/A,No,Memory Leak,,No,TODO,https://github.com/xiph/flac/commit/d7ebbe5
48,FLAC,N/A,2007-06-20 01:23:49 +0000,,f395ec4,9fae245,N/A,Potential,Buffer Overflow,stream_encoder_asm.nasm,No,TODO,https://github.com/xiph/flac/commit/9fae245
49,FLAC,N/A,2007-08-22 02:01:28 +0000,,157909,69ecf4f,N/A,Potential,Buffer Overflow,,No,TODO,https://github.com/xiph/flac/commit/69ecf4f
50,FLAC,N/A,2007-09-11 04:49:56 +0000,,0221d87,0f008d2,N/A,Potential,Buffer Overflow,,No,TODO,https://github.com/xiph/flac/commit/0f008d2
51,FLAC,N/A,2009-01-06 17:14:31 +0000,,0915a55,ee51fc0,N/A,I Don't Know,I Don't Know,,No,TODO,https://github.com/xiph/flac/commit/ee51fc0
52,FLAC,N/A,2012-02-01 22:01:05 +1100,,e7fb215,3b41451,N/A,I Don't Know,I Don't Know,stream_encoder.c,No,TODO,https://github.com/xiph/flac/commit/3b41451
